yamaguchi2011vulnerability,"""2011""",Token
riom2021revisiting,"""2015""",Commit Metrics
ghaffarian2021neural,"""2016""",Graph
li2018vuldeepecker,"""2016""",Graph
3172102,"""2017""",Token
zhou2017automated,"""2017""",Token
Vuldiggerpaper,"""2017""",Commit Metrics
li2017software,"""2017""",Tree
3360588,"""2017""",Graph
li2021vuldeelocator,"""2017""",Tree
kronjee2018discovering,"""2018""",Graph
chen2020machine,"""2018""",Hybrid
jeon2021autovas,"""2018""",Graph
zou2019mu,"""2018""",Graph
liu2020cd,"""2018""",Graph
3429444,"""2019""",Token
shippey2019automatically,"""2019""",Graph
dinella2020hoppity,"""2019""",Tree
le2018maximal,"""2019""",Token
lin2019software,"""2019""",Tree
scandariato2014predicting,"""2019""",Token
hoang2019deepjit,"""2019""",Token
du2020cross,"""2019""",Token
cheng2019static,"""2019""",Graph
li2019improving,"""2019""",Tree
huang2021hunting,"""2020""",Graph
li2021vulnerability,"""2020""",Graph
wang2016automatically,"""2020""",Tree
yamaguchi2013chucky,"""2020""",Token
yan2021han,"""2020""",Token
pascarella2019fine,"""2020""",Commit Metrics
phan2017convolutional,"""2020""",Graph
liu2019deepbalance,"""2020""",Tree
duan2019vulsniper,"""2020""",Graph
zhou2019devign,"""2020""",Graph
nguyen2020deep,"""2020""",Token
dam2018automatic,"""2020""",Graph
zhuang2020smart,"""2020""",Graph
pradel2018deepbugs,"""2021""",Token
cheng2021deepwukong,"""2021""",Graph
li2021sysevr,"""2021""",Graph
tian2020bvdetector,"""2021""",Graph
filus2020random,"""2021""",Token
zheng2021vulspg,"""2021""",Graph
liu2021combining,"""2021""",Graph
wu2021peculiar,"""2021""",Graph
liu2021smart,"""2021""",Graph
ding2022velvet,"""2021""",Graph
sun2021vdsimilar,"""2021""",Token
allamanis2021self,"""2021""",Graph
zheng2021vu1spg,"""2021""",Graph
cao2021bgnn4vd,"""2021""",Graph
wang2020combining,"""2021""",Tree
zeng2021gcn2defect,"""2021""",Graph
le2021deepcva,"""2021""",Token
cao2022mvd,"""2022""",Graph
zhuang2022just,"""2022""",Tree
cheng2022path,"""2022""",Tree
fu2022linevul,"""2022""",Graph
hin2022linevd,"""2022""",Token
xu2022detecting,"""2022""",Tree
hanif2022vulberta,"""2022""",Token
jain2023multi,"""2022""",Token
guo2022hyvuldect,"""2022""",Graph
ashizawa2021eth2vec,"""2022""",Tree
hariharan2022proximal,"""2022""",Graph
tang2022sevuldet,"""2022""",Token
wartschinski2022vudenc,"""2022""",Token
liu2022cpgbert,"""2022""",Graph
wu2022vulcnn,"""2022""",image
zou2022mvulpreter,"""2022""",Graph
yang2022source,"""2022""",Graph
nguyen2022mando2,"""2022""",Graph
ni2022best,"""2022""",Commit Metrics
zhang2022reentrancy,"""2022""",Tree
nguyen2022mando,"""2022""",Graph
li2023vulanalyzer,"""2023""",Graph
sendner2023smarter,"""2023""",Token
liu2023vulnerable,"""2023""",Graph
wu2023slicedlocator,"""2023""",Graph
li2023vulhunter,"""2023""",Graph
song2023hgivul,"""2023""",Graph
fan2023vdotr,"""2023""",Graph
gu2023binaiv,"""2023""",Token
wan2023software,"""2023""",Graph
pan2023fine,"""2023""",Token
dong2023dekedver,"""2023""",Hybrid
chen2023smart,"""2023""",Graph
jie2023novel,"""2023""",Graph
zhu2023grabit,"""2023""",Graph
wang2023lcvd,"""2023""",Graph
wen2023vulnerability,"""2023""",Graph
wang2023deepvd,"""2023""",Graph
wang2023binvuldet,"""2023""",Graph
chen2023bitcn_drsn,"""2023""",Token
sun2023assbert,"""2023""",Graph
ni2023function,"""2023""",Graph
cai2023software,"""2023""",Graph
you2023smartdt,"""2023""",Token
yu2023pscvfinder,"""2023""",Token
yuan2023enhancing,"""2023""",Graph
li2023commit,"""2023""",Graph
tang2023csgvd,"""2023""",Graph
ren2023smart,"""2023""",Graph
li2023smart,"""2023""",image
zhang2023svscanner,"""2023""",Tree
zhou2023smart,"""2023""",Token
zheng2023multitype,"""2023""",Graph
li2023cross,"""2023""",Graph
nguyen2023mando,"""2023""",Graph
zhang2023cpvd,"""2023""",Graph
yuan2023optimizing,"""2023""",Token
cai2023combine,"""2023""",Graph
dong2023sedsvd,"""2023""",Graph
tao2023vulnerability,"""2023""",Graph
steenhoek2024dataflow,"""2024""",Graph
nguyen2024deep,"""2024""",Token
tian2024enhancing,"""2024""",Token
wen2023meta,"""2024""",Graph
nguyen2024context,"""2024""",Token
wu2024ultravcs,"""2024""",Graph
huang2024effective,"""2024""",Token
xiao2024msgvul,"""2024""",Graph
lu2024grace,"""2024""",Tree
chen2024hybrid,"""2024""",Hybrid
cai2024fine,"""2024""",Graph
guo2023reentrancy,"""2024""",Graph
zhen2024gnn,"""2024""",Graph
wang2024graph,"""2024""",Graph
nguyen2024code,"""2024""",Graph
liu2024detect,"""2024""",Graph
zhang2024vulnerability,"""2024""",Graph
kong2024multi,"""2024""",Graph
sun2024vdtriplet,"""2024""",Graph
sun2024gptscan,"""2024""",Token
du2024vulnerability,"""2024""",Tree
xiao2024vulnerability,"""2024""",Graph
hussain2024vulnerability,"""2024""",Graph
